title,page_id,char_count,word_count,sentence_count,syllable_count,complex_word_count,ARI,CLI,FRE,FKG,GFI,LIX,SMOG,section_count,subsection_count,paragraph_count,mean_section_size,mean_paragraph_size,longest_section_size,shortest_section_size,abstract_size,abstract_text_ratio,citation_count,citation_per_text,external_link_count,internal_link_count,link_per_text,image_count,image_per_text,infobox,mean_sentence_size,largest_sentence_size,shortest_sentence_size,question_count,exclamation_count,pronoun_start_count,pronoun_start_count_sentence_ratio,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,review_per_day,review_per_user,revert_count,discussion_count,quality
Regents of the University of California v. Bakke,169477,36016,6459,182,9331,995,14.9,12.71,48.23,12.2,11.97,54.86,14.5,9,9,44,3704.1111111111113,819.5681818181819,13140,2437,3053,0.08476788094180364,156,0.004331408262994225,19,166,0.005136605952909818,5,0.00013882718791648156,1,196.67582417582418,548,22,0,0,18,0.0989010989010989,7834,1594,787,339,448,691,0.2034720449323462,2.025412960609911,248,202,1
"Arlington, Washington",138192,38021,6873,196,9549,958,12.6,12.12,53.41,10.2,9.47,49.34,12.7,11,15,82,3355.4545454545455,464.7073170731707,8650,335,1786,0.04697404066173957,307,0.008074485152941796,2,393,0.010388995555087977,8,0.00021041003655874387,1,193.14795918367346,652,28,0,0,0,0.0,7916,1203,396,248,148,333,0.15197069226882265,3.037878787878788,154,37,1
Margaret Murray,20208,61614,11067,246,15982,1607,18.3,13.18,41.63,14.8,14.81,61.7,15.6,12,16,88,4918.916666666667,701.0909090909091,12766,280,3306,0.05365663647872237,5,8.115038789885416e-05,16,321,0.00546953614438277,12,0.00019476093095724997,1,249.46747967479675,704,42,1,1,46,0.18699186991869918,8298,1159,355,281,74,294,0.13967221017112558,3.2647887323943663,53,134,1
George VI,46755,26500,5020,162,6584,541,13.0,10.62,57.61,10.7,11.32,47.58,12.4,12,6,40,2023.5833333333333,663.9,11491,13,2561,0.09664150943396227,130,0.004905660377358491,2,329,0.012490566037735849,12,0.0004528301886792453,1,162.60493827160494,599,34,0,2,40,0.24691358024691357,8125,6256,2578,1353,1225,2220,0.7699692307692307,2.426687354538402,1075,792,1
M-theory,20406,35616,5960,191,9640,1295,16.0,14.45,32.02,14.3,11.37,57.4,16.4,9,22,59,3827.1111111111113,605.2033898305085,10923,2757,1978,0.055536837376460015,93,0.0026111859838274932,0,204,0.0057277628032345014,5,0.0001403863432165319,0,185.48167539267016,582,17,0,0,0,0.0,8269,1844,984,485,499,882,0.22300157213689684,1.8739837398373984,276,291,1
Final Fantasy VII,52756,60666,11129,359,15509,1503,14.9,12.31,47.72,12.4,11.98,53.83,13.9,9,12,54,6515.0,1124.7407407407406,21469,3720,2471,0.04073121682655853,389,0.006412158375366762,3,466,0.007730854185210826,4,6.593479049220321e-05,1,168.01392757660167,695,20,0,1,5,0.013927576601671309,8073,10050,3780,1560,2221,3213,1.244890375325158,2.6587301587301586,1989,1721,1
Áedán mac Gabráin,192974,1069,213,7,259,17,10.6,9.69,69.82,8.1,10.6,42.89,10.6,8,0,3,0.0,357.3333333333333,0,0,1071,1.0018709073900842,0,0.0,0,18,0.01683816651075772,1,0.0009354536950420954,0,151.71428571428572,304,70,0,0,1,0.14285714285714285,7783,300,117,102,15,101,0.03854554798920724,2.5641025641025643,11,75,1
Falstaff (opera),37885,36192,7091,235,9000,684,13.1,10.62,57.2,10.8,11.54,49.31,12.2,9,8,60,3827.8888888888887,604.3333333333334,9796,13,2133,0.058935676392572946,120,0.0033156498673740055,13,263,0.007625994694960212,12,0.0003315649867374005,1,153.02978723404254,594,2,8,15,22,0.09361702127659574,8178,742,290,186,104,241,0.09073123012961604,2.5586206896551724,53,57,1
Manchester City F.C.,165813,40699,7636,187,10061,891,16.6,11.2,51.41,13.1,13.06,55.15,14.1,22,32,125,1772.3636363636363,326.968,12900,185,3043,0.07476842182854615,205,0.005036978795547802,3,957,0.023587803140126293,11,0.00027027691098061376,1,216.64705882352942,2881,11,0,0,1,0.0053475935828877,7843,10860,3158,2057,1101,2470,1.3846742317990566,3.4388853704876503,1610,932,1
Barbara McClintock,55188,30400,5359,228,7853,945,14.5,13.29,42.31,12.4,11.49,54.26,14.7,12,4,48,2381.75,634.25,8967,309,2173,0.07148026315789474,18,0.0005921052631578948,0,172,0.005657894736842106,7,0.00023026315789473684,1,132.3201754385965,542,2,0,0,42,0.18421052631578946,8057,1986,903,536,367,778,0.24649373215837161,2.1993355481727574,335,140,1
